DATE,YEAR,MONTH,DISTRICT,PRECTOT
8/31/2012,2012,8,Surkhet,344.76
9/30/2012,2012,9,Surkhet,278.65
10/31/2012,2012,10,Surkhet,4.86
11/30/2012,2012,11,Surkhet,1.21
12/31/2012,2012,12,Surkhet,2.54
1/31/2013,2013,1,Surkhet,78.56
2/28/2013,2013,2,Surkhet,93.32
3/31/2013,2013,3,Surkhet,5.1
4/30/2013,2013,4,Surkhet,6.56
5/31/2013,2013,5,Surkhet,26.62
6/30/2013,2013,6,Surkhet,469.8
7/31/2013,2013,7,Surkhet,511.77
8/31/2013,2013,8,Surkhet,286.31
9/30/2013,2013,9,Surkhet,152.2
10/31/2013,2013,10,Surkhet,72.2
11/30/2013,2013,11,Surkhet,4.82
12/31/2013,2013,12,Surkhet,7.59
1/31/2014,2014,1,Surkhet,24.83
2/28/2014,2014,2,Surkhet,49.84
3/31/2014,2014,3,Surkhet,9.83
4/30/2014,2014,4,Surkhet,11.85
5/31/2014,2014,5,Surkhet,49.9
6/30/2014,2014,6,Surkhet,80.03
7/31/2014,2014,7,Surkhet,424.62
8/31/2014,2014,8,Surkhet,267.53
9/30/2014,2014,9,Surkhet,150.42
10/31/2014,2014,10,Surkhet,44.12
11/30/2014,2014,11,Surkhet,0
12/31/2014,2014,12,Surkhet,34.72
1/31/2015,2015,1,Surkhet,54.78
2/28/2015,2015,2,Surkhet,26.78
3/31/2015,2015,3,Surkhet,138.85
4/30/2015,2015,4,Surkhet,60.76
5/31/2015,2015,5,Surkhet,30.83
6/30/2015,2015,6,Surkhet,250.56
7/31/2015,2015,7,Surkhet,255.48
8/31/2015,2015,8,Surkhet,239.78
9/30/2015,2015,9,Surkhet,31.28
10/31/2015,2015,10,Surkhet,19.66
11/30/2015,2015,11,Surkhet,1.46
12/31/2015,2015,12,Surkhet,0.32
1/31/2016,2016,1,Surkhet,10.7
2/29/2016,2016,2,Surkhet,19.8
3/31/2016,2016,3,Surkhet,27.34
4/30/2016,2016,4,Surkhet,4.64
5/31/2016,2016,5,Surkhet,96.16
6/30/2016,2016,6,Surkhet,141.24
7/31/2016,2016,7,Surkhet,501.32
8/31/2016,2016,8,Surkhet,179.78
9/30/2016,2016,9,Surkhet,108.3
10/31/2016,2016,10,Surkhet,32.12
11/30/2016,2016,11,Surkhet,0
12/31/2016,2016,12,Surkhet,0.06
1/31/2017,2017,1,Surkhet,27.16
2/28/2017,2017,2,Surkhet,1.31
3/31/2017,2017,3,Surkhet,39.14
4/30/2017,2017,4,Surkhet,33.75
5/31/2017,2017,5,Surkhet,72.46
6/30/2017,2017,6,Surkhet,97.56
7/31/2017,2017,7,Surkhet,416.4
8/31/2017,2017,8,Surkhet,309.05
9/30/2017,2017,9,Surkhet,127.71
10/31/2017,2017,10,Surkhet,4.4
11/30/2017,2017,11,Surkhet,0.68
12/31/2017,2017,12,Surkhet,2.29
1/31/2018,2018,1,Surkhet,0.16
2/28/2018,2018,2,Surkhet,0.35
3/31/2018,2018,3,Surkhet,0.51
4/30/2018,2018,4,Surkhet,2.78
5/31/2018,2018,5,Surkhet,3.58
6/30/2018,2018,6,Surkhet,3.26
7/31/2018,2018,7,Surkhet,17.57
8/31/2018,2018,8,Surkhet,13.56
9/30/2018,2018,9,Surkhet,2.65
10/31/2018,2018,10,Surkhet,0.02
11/30/2018,2018,11,Surkhet,0.12
12/31/2018,2018,12,Surkhet,0.02
1/31/2019,2019,1,Surkhet,1.21
2/28/2019,2019,2,Surkhet,4.5
3/31/2019,2019,3,Surkhet,0.6
4/30/2019,2019,4,Surkhet,1.35
5/31/2019,2019,5,Surkhet,0.82
6/30/2019,2019,6,Surkhet,5.19
7/31/2019,2019,7,Surkhet,12.52
8/31/2019,2019,8,Surkhet,5.81
9/30/2019,2019,9,Surkhet,8.14
10/31/2019,2019,10,Surkhet,0.3
11/30/2019,2019,11,Surkhet,0.36
12/31/2019,2019,12,Surkhet,1.88
1/31/1981,1981,1,Syangja,59.74
2/28/1981,1981,2,Syangja,2.16
3/31/1981,1981,3,Syangja,28.18
4/30/1981,1981,4,Syangja,51.5
5/31/1981,1981,5,Syangja,74.39
6/30/1981,1981,6,Syangja,112.7
7/31/1981,1981,7,Syangja,509.68
8/31/1981,1981,8,Syangja,272.6
9/30/1981,1981,9,Syangja,139.76
10/31/1981,1981,10,Syangja,8.8
11/30/1981,1981,11,Syangja,32.39
12/31/1981,1981,12,Syangja,0.88
1/31/1982,1982,1,Syangja,63.19
2/28/1982,1982,2,Syangja,12.91
3/31/1982,1982,3,Syangja,25.87
4/30/1982,1982,4,Syangja,25.96
5/31/1982,1982,5,Syangja,21.37
6/30/1982,1982,6,Syangja,86.82
7/31/1982,1982,7,Syangja,299.34
8/31/1982,1982,8,Syangja,150.97
9/30/1982,1982,9,Syangja,172.34
10/31/1982,1982,10,Syangja,1.96
11/30/1982,1982,11,Syangja,10.03
12/31/1982,1982,12,Syangja,6.06
1/31/1983,1983,1,Syangja,1.76
2/28/1983,1983,2,Syangja,1.23
3/31/1983,1983,3,Syangja,10.21
4/30/1983,1983,4,Syangja,15.23
5/31/1983,1983,5,Syangja,45.6
6/30/1983,1983,6,Syangja,89.74
7/31/1983,1983,7,Syangja,137.4
8/31/1983,1983,8,Syangja,104.33
9/30/1983,1983,9,Syangja,89.21
10/31/1983,1983,10,Syangja,109.99
11/30/1983,1983,11,Syangja,0
12/31/1983,1983,12,Syangja,7.1
1/31/1984,1984,1,Syangja,3.93
2/29/1984,1984,2,Syangja,19.6
3/31/1984,1984,3,Syangja,2.42
4/30/1984,1984,4,Syangja,4.4
5/31/1984,1984,5,Syangja,18.62
6/30/1984,1984,6,Syangja,154.46
7/31/1984,1984,7,Syangja,277.14
8/31/1984,1984,8,Syangja,207.36
9/30/1984,1984,9,Syangja,238.44
10/31/1984,1984,10,Syangja,23.73
11/30/1984,1984,11,Syangja,0.36
12/31/1984,1984,12,Syangja,4.6
1/31/1985,1985,1,Syangja,37.06
2/28/1985,1985,2,Syangja,0.16
3/31/1985,1985,3,Syangja,0.06
4/30/1985,1985,4,Syangja,1.7
5/31/1985,1985,5,Syangja,26.61
6/30/1985,1985,6,Syangja,35.88
7/31/1985,1985,7,Syangja,268.28
8/31/1985,1985,8,Syangja,171
9/30/1985,1985,9,Syangja,208.26
10/31/1985,1985,10,Syangja,83.98
11/30/1985,1985,11,Syangja,0
12/31/1985,1985,12,Syangja,6.04
1/31/1986,1986,1,Syangja,0.43
2/28/1986,1986,2,Syangja,12.96
3/31/1986,1986,3,Syangja,2.94
4/30/1986,1986,4,Syangja,9.74
5/31/1986,1986,5,Syangja,23.33
6/30/1986,1986,6,Syangja,128.22
7/31/1986,1986,7,Syangja,248.17
8/31/1986,1986,8,Syangja,80.35
9/30/1986,1986,9,Syangja,59.78
10/31/1986,1986,10,Syangja,26.88
11/30/1986,1986,11,Syangja,0.34
12/31/1986,1986,12,Syangja,30.66
1/31/1987,1987,1,Syangja,11.2
2/28/1987,1987,2,Syangja,3.08
3/31/1987,1987,3,Syangja,5.74
4/30/1987,1987,4,Syangja,3.53
5/31/1987,1987,5,Syangja,24.26
6/30/1987,1987,6,Syangja,15.34
7/31/1987,1987,7,Syangja,277.62
8/31/1987,1987,8,Syangja,204.92
9/30/1987,1987,9,Syangja,185.38
10/31/1987,1987,10,Syangja,106.78
11/30/1987,1987,11,Syangja,0
12/31/1987,1987,12,Syangja,5.65
1/31/1988,1988,1,Syangja,10.52
2/29/1988,1988,2,Syangja,3.3
3/31/1988,1988,3,Syangja,28.75
4/30/1988,1988,4,Syangja,19.27
5/31/1988,1988,5,Syangja,35.97
6/30/1988,1988,6,Syangja,82.4
7/31/1988,1988,7,Syangja,390.42
8/31/1988,1988,8,Syangja,312.92
9/30/1988,1988,9,Syangja,74.35
10/31/1988,1988,10,Syangja,14.18
11/30/1988,1988,11,Syangja,0
12/31/1988,1988,12,Syangja,18
1/31/1989,1989,1,Syangja,27.5
2/28/1989,1989,2,Syangja,10.18
3/31/1989,1989,3,Syangja,6.96
4/30/1989,1989,4,Syangja,5.52
5/31/1989,1989,5,Syangja,40.35
6/30/1989,1989,6,Syangja,135.82
7/31/1989,1989,7,Syangja,242.59
8/31/1989,1989,8,Syangja,166.46
9/30/1989,1989,9,Syangja,69.47
10/31/1989,1989,10,Syangja,7.54
11/30/1989,1989,11,Syangja,2.23
12/31/1989,1989,12,Syangja,7.32
1/31/1990,1990,1,Syangja,0.07
2/28/1990,1990,2,Syangja,26.48
3/31/1990,1990,3,Syangja,5.62
4/30/1990,1990,4,Syangja,5.8
5/31/1990,1990,5,Syangja,20.8
6/30/1990,1990,6,Syangja,142.99
7/31/1990,1990,7,Syangja,511.68
8/31/1990,1990,8,Syangja,154.96
9/30/1990,1990,9,Syangja,119.9
10/31/1990,1990,10,Syangja,10.11
11/30/1990,1990,11,Syangja,0.02
12/31/1990,1990,12,Syangja,1.58
1/31/1991,1991,1,Syangja,6.1
2/28/1991,1991,2,Syangja,0.88
3/31/1991,1991,3,Syangja,8.56
4/30/1991,1991,4,Syangja,1.11
5/31/1991,1991,5,Syangja,29.06
6/30/1991,1991,6,Syangja,29.48
7/31/1991,1991,7,Syangja,148.85
8/31/1991,1991,8,Syangja,162.01
9/30/1991,1991,9,Syangja,145.22
10/31/1991,1991,10,Syangja,2.72
11/30/1991,1991,11,Syangja,0.61
12/31/1991,1991,12,Syangja,30.82
1/31/1992,1992,1,Syangja,0.8
2/29/1992,1992,2,Syangja,2.31
3/31/1992,1992,3,Syangja,0.85
4/30/1992,1992,4,Syangja,0.11
5/31/1992,1992,5,Syangja,18.46
6/30/1992,1992,6,Syangja,89.03
7/31/1992,1992,7,Syangja,174.04
8/31/1992,1992,8,Syangja,168.53
9/30/1992,1992,9,Syangja,110.92
10/31/1992,1992,10,Syangja,77.7
11/30/1992,1992,11,Syangja,4.34
12/31/1992,1992,12,Syangja,0.42
1/31/1993,1993,1,Syangja,5.38
2/28/1993,1993,2,Syangja,2.16
3/31/1993,1993,3,Syangja,33.41
4/30/1993,1993,4,Syangja,13.04
5/31/1993,1993,5,Syangja,27.29
6/30/1993,1993,6,Syangja,114.79
7/31/1993,1993,7,Syangja,169.1
8/31/1993,1993,8,Syangja,112.65
9/30/1993,1993,9,Syangja,125.04
10/31/1993,1993,10,Syangja,3.14
11/30/1993,1993,11,Syangja,0.63
12/31/1993,1993,12,Syangja,0
1/31/1994,1994,1,Syangja,18.4
2/28/1994,1994,2,Syangja,4.66
3/31/1994,1994,3,Syangja,3.94
4/30/1994,1994,4,Syangja,2.02
5/31/1994,1994,5,Syangja,7.38
6/30/1994,1994,6,Syangja,103.74
7/31/1994,1994,7,Syangja,194.2
8/31/1994,1994,8,Syangja,91.1
9/30/1994,1994,9,Syangja,143.93
10/31/1994,1994,10,Syangja,4.14
11/30/1994,1994,11,Syangja,0.21
12/31/1994,1994,12,Syangja,0
1/31/1995,1995,1,Syangja,9.57
2/28/1995,1995,2,Syangja,12.54
3/31/1995,1995,3,Syangja,4.64
4/30/1995,1995,4,Syangja,4.69
5/31/1995,1995,5,Syangja,13.62
6/30/1995,1995,6,Syangja,141.04
7/31/1995,1995,7,Syangja,185.26
8/31/1995,1995,8,Syangja,211.17
9/30/1995,1995,9,Syangja,60.85
10/31/1995,1995,10,Syangja,5.96
11/30/1995,1995,11,Syangja,34.6
12/31/1995,1995,12,Syangja,4.16
1/31/1996,1996,1,Syangja,40.66
